Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
12403,Oliver Denton,Public,Bad,Brown,Black,Male,Yes,1,"1992, December",Earth-616,Marvel
12404,Salvo,Secret,Neutral,White,Brown,Male,No,4,"2000, June",Earth-616,Marvel
12405,Director,Secret,Good,Green,Brown,Male,Yes,2,"2010, July",New Earth,DC
12406,Ophidian,Secret,Bad,Yellow,White,Unknown,No,15,"2010, May",New Earth,DC
12407,Krodar,Public,Bad,Blue,Black,Male,Yes,1,"1977, April",Earth-616,Marvel
12408,Neosaurus,Secret,Neutral,Yellow,Bald,Male,Yes,3,"2002, May",Earth-616,Marvel
12409,Terri Henshaw,Public,Good,Green,Red,Female,No,7,"1990, May",New Earth,DC
12410,Chrysalis,Secret,Good,White,Brown,Female,Yes,3,"1994, December",New Earth,DC
12411,Carl Burgos,Public,Good,Blue,Black,Male,Yes,2,"1942, August",Earth-616,Marvel
12412,Jarvis Kord,Public,Bad,Blue,White,Male,No,4,"1967, August",New Earth,DC
12413,David Zavimbi,Secret,Good,Brown,Black,Male,Yes,3,"2011, May",New Earth,DC
12414,Varthog,Public,Bad,Brown,Black,Male,Yes,1,"1986, January",Earth-616,Marvel
12415,Granite Bandit,Public,Bad,Red,Black,Male,Yes,1,"1948, December",Earth-616,Marvel
12416,Tatsu Yamashiro,Secret,Good,Brown,Black,Female,Yes,252,"1983, July",New Earth,DC
12417,Kai-Ra,Secret,Bad,Brown,No,Male,Yes,2,"1992, May",Earth-616,Marvel
12418,Lynx,Secret,Bad,Brown,Black,Female,No,20,"1991, January",New Earth,DC
12419,Derek Bishop,Public,Neutral,Brown,Black,Male,Yes,2,"2005, May",Earth-616,Marvel
12420,Ted Chin,Non-dual,Bad,Blue,White,Male,Yes,1,"1999, October",Earth-616,Marvel
12421,Jeffrey Sloane,Public,Good,Blue,Brown,Male,Yes,9,"1971, December",New Earth,DC
12422,Ellie Mae Skaggs,Secret,Bad,Blue,Blond,Female,No,1,"1987, November",New Earth,DC
12423,Sea Wolf,Secret,Bad,Black,Brown,Male,Yes,12,"1987, June",New Earth,DC
12424,Vic Marcus,Secret,Good,Red,Brown,Male,Yes,5,"2005, December",Earth-616,Marvel
12425,Martin Oksner Burns,Secret,Good,Blue,Blond,Male,Yes,3,"1943, March",Earth-616,Marvel
12426,Kalen,Public,Good,Blue,Black,Male,Yes,1,"1993, May",Earth-616,Marvel
12427,Rachel van Helsing,Public,Bad,Blue,Blond,Female,No,68,"1972, July",Earth-616,Marvel
12428,Benita Sanchez,Non-dual,Good,Brown,Black,Female,Yes,3,"1994, February",Earth-616,Marvel
12429,Willem Vincent,Secret,Neutral,Blue,Red,Male,No,4,"1987, July",Earth-616,Marvel
12430,John Watkins,Public,Good,Brown,Brown,Male,No,8,"1942, January",Earth-616,Marvel
12431,Eve Donner,Public,Good,Brown,Black,Female,Yes,11,"1972, July",New Earth,DC
12432,Suzume,Public,Good,Black,Black,Female,Yes,1,"2011, June",Earth-616,Marvel
12433,Ben Yarby,Non-dual,Good,Brown,Brown,Male,Yes,7,"1956, September",Earth-616,Marvel
12434,Bueno Excellente,Public,Good,Brown,Brown,Male,Yes,8,"1997, September",New Earth,DC
12435,Melvin Gooner,Public,Good,White,Black,Male,Yes,6,"1991, March",Earth-616,Marvel
12436,Alexander Walsh,Non-dual,Good,Red,Blond,Male,Yes,6,"1979, December",Earth-616,Marvel
12437,William Conover,Public,Good,White,Brown,Male,Yes,10,"1988, September",Earth-616,Marvel
12438,Veritina,Non-dual,Neutral,Blue,No,Female,No,2,"2013, April",Earth-616,Marvel
12439,Akarl,Secret,Good,Red,Brown,Male,No,2,"1989, March",New Earth,DC
12440,Dell Merriwether,Public,Bad,Brown,Black,Male,No,1,"1997, October",New Earth,DC
12441,Henry Knight,Public,Good,Blue,Black,Male,No,1,"2006, September",New Earth,DC
12442,John Williamson,Public,Neutral,Amber,Black,Male,Yes,1,"1947, March",Earth-616,Marvel
12443,Khoryphos,Secret,Good,Blue,Brown,Male,Yes,13,"1985, October",Earth-616,Marvel
12444,Thunderer the Horse,Secret,Bad,Blue,White,Male,Yes,4,"1971, November",New Earth,DC
12445,Nehebka,Secret,Good,Brown,Brown,Female,No,6,"1989, May",New Earth,DC
12446,Muscles McGinnis,Secret,Good,Black,Brown,Male,Yes,9,"1995, May",New Earth,DC
12447,Wick,Public,Bad,Brown,Brown,Male,No,1,"2009, June",New Earth,DC
12448,Danielle Moonstar,Secret,Good,Brown,Black,Female,Yes,388,"1982, November",Earth-616,Marvel
12449,Junichiro,Secret,Neutral,Black,Black,Male,No,1,"2008, August",Earth-616,Marvel
12450,Milos Abyss,Public,Bad,White,No,Male,Yes,13,"1993, March",Earth-616,Marvel
12451,Harvester,Secret,Bad,Variable,No,Male,Yes,2,"2001, May",Earth-616,Marvel
12452,Kerwin Stockwell,Public,Neutral,Blue,Black,Male,Yes,1,"2011, May",Earth-616,Marvel
12453,Red Tornado,Secret,Good,Green,Blond,Male,Yes,374,"1968, August",New Earth,DC
12454,Hoopsnake,Secret,Bad,Brown,White,Male,Yes,2,"1999, October",Earth-616,Marvel
12455,Phadion,Public,Good,Brown,Black,Male,No,1,"1941, March",Earth-616,Marvel
12456,George Cross,Secret,Good,Blue,Blond,Male,Yes,14,"1993, November",New Earth,DC
12457,James Christian,Secret,Bad,White,Black,Male,Yes,2,"1986, January",Earth-616,Marvel
12458,Robert Castell,Public,Neutral,Brown,Black,Male,Yes,2,"2006, June",New Earth,DC
12459,Yi Yang,Secret,Bad,Green,Black,Female,Yes,15,"1979, June",Earth-616,Marvel
12460,Hubert Carpenter,Secret,Bad,Blue,Black,Male,No,7,"1984, May",Earth-616,Marvel
12461,Pele,Secret,Good,Brown,Black,Female,Yes,4,"1998, September",Earth-616,Marvel
12462,Nauda,Secret,Bad,White,Black,Male,Yes,3,"1992, June",Earth-616,Marvel
12463,Ariel,Non-dual,Good,Black,Pink,Female,Yes,21,"1987, May",Earth-616,Marvel
12464,Gary Hale,Public,Good,Brown,Black,Male,Yes,2,"1942, December",Earth-616,Marvel
12465,Kathy Malper,Public,Good,Brown,Brown,Female,Yes,5,"1991, December",Earth-616,Marvel
12466,Lyla,Public,Good,Blue,Purple,Female,Yes,6,"2004, April",New Earth,DC
12467,Mary Lynn Norfolk,Public,Good,Brown,Black,Female,Yes,1,"1987, November",Earth-616,Marvel
12468,Mask of Doom,Secret,Bad,Blue,Brown,Male,Yes,1,"1955, September",Earth-616,Marvel
12469,Homer Hamlen,Non-dual,Bad,Red,Black,Male,Yes,1,"1946, March",Earth-616,Marvel
12470,Able Doone,Non-dual,Bad,Brown,Blond,Male,Yes,1,"1943, June",Earth-616,Marvel
12471,Cadmium,Secret,Bad,Brown,No,Unknown,Yes,3,"1997, September",Earth-616,Marvel
12472,Styx,Secret,Bad,Red,Bald,Male,Yes,5,"2011, July",Earth-616,Marvel
12473,Napoleon Sack,Public,Good,Blue,Black,Male,Yes,1,"1942, September",Earth-616,Marvel
12474,Tom Evans,Secret,Bad,Hazel,Black,Male,No,1,"1944, September",Earth-616,Marvel
12475,Dark Dweller,Non-dual,Bad,Black,Bald,Male,Yes,2,"1990, April",Earth-616,Marvel
12476,Doctor Poison II,Public,Bad,Grey,Black,Female,Yes,17,"1999, December",New Earth,DC
12477,Commander Cypher,Secret,Good,Blue,Brown,Female,Yes,4,"1996, December",Earth-616,Marvel
12478,Brian Bryan,Public,Good,Brown,Red,Male,Yes,6,"1995, February",New Earth,DC
12479,White Dragon,Secret,Bad,White,Black,Male,No,2,"1971, July",Earth-616,Marvel
12480,Igor,Public,Bad,Brown,Black,Male,Yes,2,"1964, May",Earth-616,Marvel
12481,Marius Boudreaux,Public,Bad,Blue,Brown,Male,No,8,"1994, January",Earth-616,Marvel
12482,Gil Jeffers,Secret,Neutral,Brown,Black,Male,Yes,3,"1987, September",Earth-616,Marvel
12483,Anna Twisdon,Non-dual,Good,Brown,Blond,Female,Yes,1,"1940, June",Earth-616,Marvel
12484,Hanuman,Public,Neutral,Brown,Brown,Male,Yes,2,"1999, October",New Earth,DC
12485,Flexo,Secret,Good,Black,No,Unknown,No,12,"1940, March",Earth-616,Marvel
12486,Emile Klout,Non-dual,Good,Red,Black,Male,Yes,1,"1976, September",Earth-616,Marvel
12487,Skragg,Secret,Bad,Green,No,Male,No,3,"1973, March",Earth-616,Marvel
12488,Azraeuz,Secret,Good,Green,Red,Male,No,9,"2007, January",New Earth,DC
12489,Cosmic Man,Secret,Bad,Blue,No,Male,Yes,11,"2000, August",Earth-616,Marvel
12490,Mary Kramer,Secret,Good,Blue,Red,Female,Yes,13,"1999, July",New Earth,DC
12491,Henry Sage,Non-dual,Bad,Red,White,Male,Yes,1,"1998, March",Earth-616,Marvel
12492,Dezmond Harris,Public,Good,Brown,Black,Male,Yes,1,"2006, February",Earth-616,Marvel
12493,Ghoul,Secret,Bad,White,Bald,Male,No,5,"2006, January",Earth-616,Marvel
12494,Rebecca Rainbow,Public,Good,Blue,Black,Female,Yes,4,"1975, March",Earth-616,Marvel
12495,King Ra-Man,Public,Neutral,Blue,Black,Male,Yes,13,"1965, July",New Earth,DC
12496,Marguerita,Secret,Bad,Blue,White,Female,No,3,"1973, November",Earth-616,Marvel
12497,Jean Grey,Secret,Bad,Green,Red,Female,No,1,"1979, September",Earth-616,Marvel
12498,Manuel Cabral,Secret,Bad,Brown,White,Male,Yes,7,"1994, July",New Earth,DC
12499,Brute of the Dreaming,Secret,Bad,Grey,Black,Male,Yes,8,"1974, December",New Earth,DC
12500,Roxanne Washington,Secret,Good,Black,White,Female,Yes,81,"2005, August",Earth-616,Marvel
12501,Terrence Carbone,Secret,Good,Black,Brown,Male,Yes,2,"1989, June",New Earth,DC
12502,Rath,Secret,Bad,Brown,Brown,Male,Yes,23,"1962, March",New Earth,DC
12503,Noor Harjavti,Public,Bad,Brown,Black,Female,Yes,1,"1990, August",New Earth,DC
12504,Kulak,Public,Bad,Blue,Black,Male,Yes,9,"1940, September",New Earth,DC
12505,Triax,Non-dual,Bad,Black,White,Male,Yes,11,"1972, December",Earth-616,Marvel
12506,Damara Sinclair,Public,Good,Blue,Blond,Female,Yes,10,"2000, March",New Earth,DC
12507,Bart Rozum,Non-dual,Good,Brown,Red,Male,Yes,16,"1989, May",Earth-616,Marvel
12508,Basallo,Public,Neutral,Blue,No,Male,Yes,6,"1963, October",Earth-616,Marvel
12509,Dreamstalker,Secret,Bad,Variable,Black,Unknown,Yes,13,"1963, July",Earth-616,Marvel
12510,Mantor,Secret,Good,Grey,Brown,Male,Yes,2,"1940, September",Earth-616,Marvel
12511,Gene Hayes,Secret,Bad,Brown,Black,Male,No,30,"2003, July",Earth-616,Marvel
12512,Christopher Summers,Public,Good,Brown,Brown,Male,Yes,110,"1977, April",Earth-616,Marvel
12513,Louise Kennedy,Public,Neutral,Yellow,Brown,Female,No,12,"1995, August",Earth-616,Marvel
12514,Judas Cain,Public,Bad,Blue,Black,Male,No,1,"1944, December",Earth-616,Marvel
12515,Clay Stoner,Secret,Good,Blue,Black,Male,Yes,8,"1978, September",New Earth,DC
12516,Sphinxor,Public,Good,Black,No,Male,Yes,7,"1975, February",Earth-616,Marvel
12517,Veon,Secret,Bad,Black,Blond,Male,No,10,"2008, December",New Earth,DC
12518,Wildstar,Public,Good,Brown,Black,Female,Yes,25,"2009, May",New Earth,DC
12519,Ggorgstog,Secret,Good,Black,White,Male,Yes,2,"2002, March",Earth-616,Marvel
12520,Lloyd Zahner,Public,Good,Blue,Blond,Male,Yes,9,"1988, September",Earth-616,Marvel
12521,Rupert Dockery,Public,Bad,Black,Brown,Male,Yes,8,"1980, May",Earth-616,Marvel
12522,Bes,Secret,Bad,Brown,Brown,Male,Yes,3,"1991, May",New Earth,DC
12523,Kreddik,Public,Neutral,Green,No,Male,Yes,1,"2000, October",Earth-616,Marvel
12524,Stevie,Secret,Bad,Blue,Black,Male,Yes,1,"1990, November",Earth-616,Marvel
12525,Quentin Turnbull,Public,Bad,Blue,White,Male,No,21,"1974, June",New Earth,DC
12526,Peri,Public,Good,White,Blond,Male,Yes,2,"1987, October",Earth-616,Marvel
12527,Werjil,Secret,Neutral,Red,Brown,Unknown,Yes,1,"1942, August",Earth-616,Marvel
12528,Victor,Public,Bad,Blue,Brown,Male,Yes,1,"2001, November",Earth-616,Marvel
12529,Hoora,Non-dual,Neutral,Brown,Black,Female,Yes,1,"1982, April",Earth-616,Marvel
12530,Jonathan Swift,Secret,Neutral,Violet,Brown,Male,Yes,5,"2006, December",Earth-616,Marvel
12531,Argus LaVecchio,Secret,Good,Blue,Brown,Male,Yes,9,"1991, December",Earth-616,Marvel
12532,Orlan,Public,Good,White,Brown,Male,Yes,2,"2009, January",New Earth,DC
12533,Marcus Estrada de la Garc\u00eda,Secret,Good,Hazel,Black,Male,No,1,"2006, May",Earth-616,Marvel
12534,Berserker 7,Secret,Bad,Red,No,Male,Yes,2,"1993, June",Earth-616,Marvel
12535,Eugene Stivak,Public,Bad,Green,Bald,Male,Yes,14,"1977, September",Earth-616,Marvel
12536,Alan Welles,Secret,Neutral,Blue,Brown,Male,No,19,"1984, June",New Earth,DC
12537,Benito Mussolini,Public,Bad,White,Black,Male,Yes,3,"1942, September",New Earth,DC
12538,Nikolai Mordo,Public,Bad,White,Black,Male,Yes,1,"1989, August",Earth-616,Marvel
12539,Clive Vickers,Secret,Neutral,Brown,Brown,Male,No,1,"2001, October",Earth-616,Marvel
12540,Victor Kreeger,Secret,Bad,Variable,Brown,Male,Yes,1,"1984, July",Earth-616,Marvel
12541,Bloc,Public,Bad,Blue,Blond,Male,Yes,1,"2002, October",Earth-616,Marvel
12542,Garwood,Public,Bad,Green,Black,Male,Yes,2,"1984, June",Earth-616,Marvel
12543,Aiomumkondi,Non-dual,Bad,Blue,Blond,Male,Yes,1,"2000, May",Earth-616,Marvel
12544,Musere,Public,Neutral,Blue,Black,Male,Yes,1,"2010, November",Earth-616,Marvel
12545,Lau,Public,Bad,Black,Black,Male,Yes,1,"2000, May",Earth-616,Marvel
12546,Red Skeleton,Public,Good,Brown,Red,Male,Yes,1,"1942, August",Earth-616,Marvel
12547,Justine Hammer,Secret,Bad,Blue,Black,Female,No,42,"1997, June",Earth-616,Marvel
12548,Henry Lane,Secret,Good,Brown,Black,Male,Yes,1,"2009, June",New Earth,DC
12549,Krakos,Public,Bad,Blue,Bald,Male,Yes,5,"2007, August",Earth-616,Marvel
12550,Hillary King,Non-dual,Neutral,Black,Black,Male,Yes,1,"1947, March",Earth-616,Marvel
12551,Liana Kerzner,Public,Neutral,Blue,Red,Female,Yes,10,"2008, November",New Earth,DC
12552,Eliza Harmon,Public,Good,Brown,Brown,Female,No,3,"2006, August",New Earth,DC
12553,Gabby the Monkey,Public,Good,Blue,Brown,Male,Yes,8,"1941, April",New Earth,DC
12554,Cedric Crichton,Public,Good,Brown,Black,Male,No,1,"2002, March",Earth-616,Marvel
12555,Ayna Sareva,Non-dual,Good,Green,Blond,Female,Yes,10,"2005, June",Earth-616,Marvel
12556,Rockwell Davis,Secret,Neutral,Green,Brown,Male,Yes,3,"2007, December",Earth-616,Marvel
12557,Jay Abrams,Secret,Good,Grey,Black,Male,Yes,49,"1971, February",New Earth,DC
12558,Vice,Secret,Bad,Blue,Blond,Male,Yes,1,"1990, February",Earth-616,Marvel
12559,Gaark,Secret,Bad,Blue,Bald,Male,Yes,1,"1996, July",Earth-616,Marvel
12560,Plunderer,Secret,Neutral,Black,Grey,Male,No,1,"2007, February",Earth-616,Marvel
12561,Avalon,Non-dual,Good,White,Blond,Unknown,Yes,4,"1974, January",Earth-616,Marvel
12562,Primotur Jekuakkekt,Public,Neutral,Red,Red,Male,Yes,1,"1998, April",Earth-616,Marvel
12563,Slototh,Public,Bad,Blue,No,Unknown,Yes,1,"1999, May",Earth-616,Marvel
12564,Chase Stein,Non-dual,Good,Blue,Blond,Male,Yes,100,"2003, July",Earth-616,Marvel
12565,Granch,Public,Good,Black,Red,Male,No,9,"1983, April",New Earth,DC
12566,Hardaway,Secret,Bad,Blue,Black,Male,Yes,1,"1993, October",Earth-616,Marvel
12567,Victoria Snow,Public,Neutral,Brown,Red,Female,Yes,1,"1998, August",Earth-616,Marvel
12568,Madame Joy,Public,Bad,Brown,White,Female,Yes,3,"1988, November",Earth-616,Marvel
12569,Carrie Donahue,Public,Good,Hazel,Brown,Female,Yes,4,"1990, December",New Earth,DC
12570,Captain Corbett,Public,Bad,Green,Blue,Male,Yes,1,"1962, September",Earth-616,Marvel
12571,Shiva Nataraja,Secret,Bad,Violet,Black,Unknown,Yes,3,"1999, September",New Earth,DC
12572,Lord Byson,Secret,Good,Brown,Brown,Male,Yes,2,"2007, September",Earth-616,Marvel
12573,Chad Barrow,Secret,Bad,Red,Brown,Male,No,1,"2005, May",Earth-616,Marvel
12574,Stamar,Public,Good,Red,Brown,Male,Yes,2,"1962, June",New Earth,DC
12575,Kura,Public,Neutral,Brown,Black,Female,Yes,9,"1985, September",Earth-616,Marvel
12576,Dallas Riordan,Secret,Good,Blue,Red,Female,Yes,76,"1997, April",Earth-616,Marvel
12577,John Quincy Adams,Public,Good,Blue,Brown,Male,No,2,"2009, December",Earth-616,Marvel
12578,John Smalls,Secret,Neutral,Brown,Black,Male,Yes,5,"2006, June",New Earth,DC
12579,Artemis,Secret,Bad,Brown,Black,Female,Yes,11,"1989, November",New Earth,DC
12580,Opto309V,Public,Good,White,Blond,Male,No,7,"2007, February",New Earth,DC
12581,Michael McCain,Secret,Bad,Black,Black,Male,No,31,"1990, February",Earth-616,Marvel
12582,Christopher Thorn,Secret,Bad,Blue,White,Male,Yes,14,"1976, December",Earth-616,Marvel
12583,Gordon Dare,Secret,Good,Brown,Blond,Male,Yes,3,"1976, July",Earth-616,Marvel
12584,Medallion,Public,Bad,Blue,Black,Male,Yes,4,"2002, April",Earth-616,Marvel
12585,Scott Fischer,Public,Good,Blue,Blond,Male,No,19,"1988, March",New Earth,DC
12586,Adjunct,Secret,Good,Purple,Purple,Female,Yes,1,"1992, January",Earth-616,Marvel
12587,Budan,Public,Neutral,Black,Black,Male,Yes,1,"1981, January",Earth-616,Marvel
12588,Natalia Knight,Secret,Bad,Blue,Black,Female,Yes,29,"1983, August",New Earth,DC
12589,Martha Prentice,Public,Bad,Brown,Brown,Female,Yes,1,"1945, December",Earth-616,Marvel
12590,Benjamin Stryker,Secret,Bad,Blue,Blond,Male,No,3,"1977, May",New Earth,DC
12591,Mastermind,Secret,Bad,Yellow,Black,Male,Yes,1,"1970, November",Earth-616,Marvel
12592,Kon-El,Secret,Good,Blue,Black,Male,Yes,560,"1993, June",New Earth,DC
12593,Bouncer,Secret,Bad,Brown,Brown,Unknown,Yes,3,"1990, May",Earth-616,Marvel
12594,Vincent Cetewayo,Secret,Good,Brown,Black,Male,Yes,5,"1994, April",Earth-616,Marvel
12595,Solace,Public,Neutral,Black,Black,Male,Yes,4,"1980, August",Earth-616,Marvel
12596,Lieutenant Carson,Secret,Good,Brown,Black,Male,Yes,12,"2008, July",New Earth,DC
12597,Catherine Van Derm,Public,Good,Green,Red,Female,Yes,4,"2010, September",New Earth,DC
12598,Benedict Rundstrom,Secret,Bad,Red,Black,Male,No,6,"1951, June",New Earth,DC
12599,Zarathustra,Public,Bad,Blue,Black,Female,Yes,5,"1994, December",Earth-616,Marvel
12600,Carl Delandan,Public,Bad,Brown,Brown,Male,Yes,2,"1980, July",Earth-616,Marvel
12601,Carol Danvers,Secret,Bad,Green,Blond,Female,No,5,"2008, June",Earth-616,Marvel
12602,Bert Rose,Non-dual,Good,Brown,Black,Male,Yes,6,"1964, April",Earth-616,Marvel
12603,Dark,Public,Bad,Black,Black,Female,Yes,5,"1994, December",Earth-616,Marvel
12604,Denebo Aruc III,Public,Good,Blue,Bald,Male,No,3,"2006, April",Earth-616,Marvel
12605,Myra Allen,Public,Good,Brown,Brown,Female,No,8,"1991, August",New Earth,DC
12606,Yruku,Secret,Neutral,Yellow,Bald,Male,Yes,2,"2011, February",Earth-616,Marvel
12607,Keeper of the Flame,Non-dual,Bad,Blue,Brown,Male,No,13,"1966, July",Earth-616,Marvel
12608,Ajanii Jackson,Secret,Neutral,Brown,Black,Male,Yes,1,"1999, April",Earth-616,Marvel
12609,Magala,Secret,Good,Brown,Brown,Female,No,17,"1997, August",New Earth,DC
12610,Carl Braden,Public,Neutral,Blue,Brown,Male,Yes,2,"1978, February",Earth-616,Marvel
12611,Red Shift,Secret,Bad,Brown,Brown,Male,No,13,"1999, September",Earth-616,Marvel
12612,Sagittarius,Secret,Bad,Auburn,Brown,Male,Yes,2,"1997, August",Earth-616,Marvel
12613,Helen Claiborne,Public,Neutral,Blue,Black,Female,Yes,46,"1995, June",New Earth,DC
12614,Gorr,Public,Bad,Blue,White,Male,No,9,"2013, January",Earth-616,Marvel
12615,Mikhail Gorbachev,Public,Bad,Blue,No,Male,Yes,23,"1985, November",New Earth,DC
12616,Bethany Keele,Secret,Neutral,Black,Brown,Female,Yes,16,"2008, July",New Earth,DC
12617,Toyboy,Public,Bad,Green,Blond,Male,Yes,8,"2006, May",New Earth,DC
12618,Extermina,Secret,Bad,Green,No,Female,No,2,"2006, October",Earth-616,Marvel
12619,Alexi Kronsky,Public,Good,Brown,Black,Male,Yes,4,"1978, December",New Earth,DC
12620,Capricorn,Secret,Bad,Blue,Black,Male,Yes,1,"1998, July",Earth-616,Marvel
12621,Occulus,Secret,Bad,Black,Black,Male,Yes,10,"1992, April",Earth-616,Marvel
12622,Fairy Queen,Secret,Good,Green,Blond,Female,Yes,3,"2008, May",New Earth,DC
12623,Great Varda,Public,Bad,Red,Brown,Male,No,1,"1943, July",Earth-616,Marvel
12624,Victor von Doom,Public,Good,Blue,Black,Male,Yes,8,"1978, April",Earth-616,Marvel
12625,Tex Morgan,Non-dual,Good,Black,Black,Male,Yes,21,"1948, August",Earth-616,Marvel
12626,Milos Grapa,Public,Bad,Blue,Grey,Male,No,3,"1996, December",New Earth,DC
12627,Jacob Nash,Non-dual,Bad,Brown,Black,Male,Yes,6,"2002, June",Earth-616,Marvel
12628,Lupa,Secret,Bad,Yellow,Black,Female,Yes,5,"2001, December",Earth-616,Marvel
12629,Thomas Ryan,Public,Good,Yellow,No,Male,Yes,6,"1998, December",Earth-616,Marvel
12630,Emmett Vale,Public,Bad,Green,Grey,Male,Yes,8,"1986, October",New Earth,DC
12631,Gi-Gi Devin,Secret,Good,Brown,Blond,Female,Yes,1,"1942, March",Earth-616,Marvel
12632,Abraham Lincoln,Public,Neutral,Blue,Brown,Male,No,8,"1966, January",Earth-616,Marvel
12633,Patroclus,Public,Bad,Brown,Blond,Male,Yes,4,"1979, November",Earth-616,Marvel
12634,Mary Walker,Secret,Bad,Brown,Brown,Female,Yes,111,"1988, May",Earth-616,Marvel
12635,Karin Grace,Public,Bad,Blue,Blond,Female,No,18,"1959, September",New Earth,DC
12636,Solaise,Public,Neutral,Blue,Blond,Female,Yes,8,"1986, October",Earth-616,Marvel
12637,Matthew Hagen,Secret,Bad,Blue,Blond,Male,No,28,"1961, December",New Earth,DC
12638,Peter Quill,Secret,Good,Blue,Blond,Male,Yes,119,"1976, January",Earth-616,Marvel
12639,Benjamin Savannah,Non-dual,Good,Blue,White,Male,Yes,4,"1972, September",Earth-616,Marvel
12640,Robin Braxton,Public,Neutral,Green,Red,Female,Yes,18,"1986, March",Earth-616,Marvel
12641,Devin Touhy,Secret,Good,Green,Black,Male,No,5,"2010, August",Earth-616,Marvel
12642,William von Hammer,Public,Good,Blue,Blond,Male,Yes,1,"2009, August",New Earth,DC
12643,Desmond Marrs,Public,Bad,Blue,Red,Male,No,22,"1990, April",Earth-616,Marvel
12644,Lenny Sirkes,Public,Bad,Yellow,No,Male,Yes,1,"2009, June",Earth-616,Marvel
12645,Sky Song,Secret,Bad,Red,Brown,Female,Yes,1,"2009, December",Earth-616,Marvel
12646,Xa,Secret,Bad,Blue,Red,Female,Yes,5,"1990, December",Earth-616,Marvel
12647,Samantha Bryant,Non-dual,Good,Green,Red,Female,Yes,4,"1992, December",Earth-616,Marvel
12648,Kubark,Public,Good,Red,Red,Male,Yes,46,"2011, December",Earth-616,Marvel
12649,Christopher Aaronson,Secret,Bad,Brown,Bald,Male,Yes,7,"1999, February",Earth-616,Marvel
12650,Filippo Ayala,Non-dual,Bad,Blue,Red,Male,No,4,"1976, August",Earth-616,Marvel
12651,Siingard,Secret,Bad,Grey,White,Male,Yes,1,"1994, October",Earth-616,Marvel
12652,Anatoly Vonya,Secret,Bad,Blue,Grey,Male,Yes,1,"1992, June",Earth-616,Marvel
12653,Shaft,Public,Good,Black,Blond,Unknown,No,3,"1982, November",Earth-616,Marvel
12654,Jennifer Ransome,Public,Good,Black,White,Female,Yes,28,"1988, October",Earth-616,Marvel
12655,Technician,Secret,Bad,Brown,Black,Male,Yes,4,"1995, June",New Earth,DC
12656,Devil Dog,Secret,Bad,Blue,Blond,Male,Yes,9,"2008, September",New Earth,DC
12657,Gerard Shugel,Secret,Neutral,Red,White,Male,Yes,6,"2009, July",New Earth,DC
12658,Phelix,Secret,Neutral,Red,White,Male,Yes,1,"1992, December",Earth-616,Marvel
12659,Stegor,Secret,Good,Blue,White,Male,Yes,1,"1973, August",Earth-616,Marvel
12660,Rynda,Secret,Neutral,Blue,Black,Female,No,3,"1968, January",Earth-616,Marvel
12661,Tito Bohusk,Public,Bad,Blue,Black,Male,Yes,11,"2003, July",Earth-616,Marvel
12662,Tanis Nieves,Secret,Good,Brown,Brown,Female,Yes,12,"2010, December",Earth-616,Marvel
12663,Helen Belcanto,Public,Bad,Brown,Black,Female,Yes,2,"1996, July",New Earth,DC
12664,Imhotep,Public,Good,Brown,Black,Male,Yes,1,"2010, June",Earth-616,Marvel
12665,Three Faces of Evil,Public,Bad,Red,Blond,Unknown,Yes,6,"1995, December",New Earth,DC
12666,Isaiah Curwen,Public,Bad,Blue,White,Male,Yes,26,"1974, June",Earth-616,Marvel
12667,Jerome Hamilton,Secret,Bad,Blue,Black,Male,Yes,2,"1989, March",Earth-616,Marvel
12668,Randau,Secret,Bad,Red,No,Male,Yes,10,"1968, May",Earth-616,Marvel
12669,Major Samson,Public,Good,Blue,Blond,Male,Yes,1,"2009, July",Earth-616,Marvel
12670,Nathaniel Great Owl,Secret,Bad,Blue,Black,Male,No,2,"1993, September",Earth-616,Marvel
12671,Aelfric,Secret,Bad,Blue,No,Male,No,4,"1973, January",Earth-616,Marvel
12672,Pomoxis,Secret,Good,Blue,Black,Male,Yes,2,"1962, June",New Earth,DC
12673,Brimer,Public,Bad,Blue,Black,Male,Yes,2,"1964, May",Earth-616,Marvel
12674,Ajaxis,Secret,Bad,Blue,Brown,Male,Yes,1,"2006, August",Earth-616,Marvel
12675,Ape-Man,Secret,Bad,Brown,Brown,Male,Yes,2,"1997, April",Earth-616,Marvel
12676,Benito Mussolini,Non-dual,Bad,Black,White,Male,No,5,"1940, September",Earth-616,Marvel
12677,Francis Klum,Secret,Bad,Brown,Brown,Male,No,17,"2002, August",Earth-616,Marvel
12678,Skid Row Slasher,Secret,Bad,Blue,Black,Male,Yes,1,"1987, September",New Earth,DC
12679,Tyler Nixon,Public,Neutral,Brown,Brown,Male,Yes,4,"2003, November",Earth-616,Marvel
12680,Mister Smythe,Secret,Bad,Green,White,Male,Yes,1,"1942, September",Earth-616,Marvel
12681,Kurt Weidner,Public,Bad,Black,Blond,Male,Yes,1,"1942, September",Earth-616,Marvel
12682,Michael Steel,Secret,Bad,White,No,Male,Yes,64,"1980, December",Earth-616,Marvel
12683,Overseer,Secret,Bad,Brown,Black,Female,Yes,1,"1983, October",New Earth,DC
